ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLC-0054","10","Ayudas para el fomento de la contratación de parados de larga duración mayores de 45 años.","2021-02-04","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0055","10","Deducción excepcional en el tramo autonómico y estatal del impuesto sobre la renta de las personas físicas para los ejercicios 2020, 2021 y 2022 para personas sometidas a un erte o ere.","2021-02-04","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0067","10","Aplazamiento de la fecha de justificación para los expedientes con plazo de justificación en 2020 y 2021 de las subvenciones del programa de desarrollo rural de canarias para el periodo 2014-2020.","2021-03-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0063","10","Plan estratégico de desarrollo de la política agraria común único para canarias.","2021-02-26","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0066","10","El cultivo del almendro en canarias.","2021-03-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0073","10","Consolidación del poblado denominado pozo de las calcosas.","2021-04-19","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0068","10","La recuperación y uso del centro de mayores de el hierro como recurso asistencial de día para los mayores.","2021-03-19","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0064","10","Apertura de líneas de ayudas al sector de los camelleros, afectados por las limitaciones de la actividad turística como consecuencia de la covid-19.","2021-02-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0065","10","Para garantizar la accesibilidad en los servicios ginecológicos y de obstetricia en canarias.","2021-03-05","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0056","10","Condiciones de acceso a la pensión en supuestos de jubilación anticipada voluntaria o forzosa con largos periodos de cotización.","2021-02-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
