ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLP-0026","10","Convocatoria del consejo de política fiscal y financiera.","2019-08-29","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0030","10","Acuerdo para elaboración de miniprogramas televisivos de identidad canaria.","2019-09-16","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0041","10","Apoyo y reconocimiento a la labor que realizan los cuerpos y fuerzas de seguridad del estado en cataluña.","2019-10-04","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0032","10","Dotación presupuestaria y de recursos de la consejería de turismo, industria y comercio para la recuperación, reactivación y modernización del sector turístico.","2019-09-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0033","10","Bonificación de la cuota tributaria del impuesto especial de la comunidad autónoma de canarias sobre combustibles derivados del petróleo en el ámbito de las islas de la palma, la gomera y el hierro.","2019-09-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0034","10","Consolidación de la renta canaria de inclusión y prevención de la exclusión social.","2019-09-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0042","10","Reparación de los daños sufridos en el ateneo de la laguna.","2019-10-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0043","10","Ordenación del ejercicio profesional de los servicios deportivos.","2019-10-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0031","10","Convocatoria de la comisión de seguimiento del pacto antitransfuguismo.","2019-09-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0035","10","Presencia fija de la guardia civil en la graciosa.","2019-09-27","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0038","10","Comisión canaria de los mercados y la competencia.","2019-10-03","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0039","10","Apoyo a las personas con daño cerebral adquirido y a sus familiares y cuidadores.","2019-10-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0036","10","Medidas para la recuperación del sector turístico.","2019-09-30","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0037","10","Modificación y reestructura del convenio en materia de carreteras 2018-2027, y los mecanismos para el pago de las cantidades que se adeudan.","2019-10-01","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0040","10","La adscripción de los bienes de dominio público marítimo-terrestre con destino a la ejecución del puerto de fonsalía.","2019-10-04","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0027","10","Aprobación de un decreto ley que permita al gobierno en funciones llevar a cabo actuaciones respecto a los recursos del sistema de financiación de la comunidades autónomas.","2019-09-13","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0029","10","Formalización y puesta en marcha de un pacto canario por la igualdad efectiva entre mujeres y hombres.","2019-09-16","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0028","10","Plan integral de alzheimer 2019-2022.","2019-09-13","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0025","10","Medidas de gestión de la realidad migratoria.","2019-08-19","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0022","10","Apoyo a la instalación del tmt en la palma.","2019-08-12","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0023","10","Apoyo a la instalación del tmt en la palma.","2019-08-13","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0024","10","Base permanente de helicópteros kamov en canarias.","2019-08-13","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0001","10","Firma del convenio correspondiente al plan de infraestructuras educativas de canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0002","10","La deuda pendiente en materia de carreteras con canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0003","10","Cumplimiento del convenio de costas.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0004","10","Firma del convenio correspondiente en materia de obras hidráulicas.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0005","10","Firma del convenio correspondiente en materia de depuración de aguas.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0006","10","Firma del convenio correspondiente para financiación de plantas potabilizadoras.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0007","10","Financiación y contratación de las fases pendientes de las obras de regadío de interés general del estado.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0008","10","Partida prevista para agua de pozos.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0009","10","Convocatoria de la comisión mixta de transferencias.","2019-07-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0010","10","Partida prevista para el programa de extensión de la banda ancha en canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0011","10","Firma del convenio correspondiente en materia de obras hidráulicas.","2019-07-18","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0012","10","Firma del convenio correspondiente en materia de internacionalización de la economía canaria.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0013","10","Firma del convenio correspondiente al plan de infraestructuras turísticas de canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0014","10","Firma del convenio correspondiente al plan integral de empleo de canarias.","2019-07-18","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0015","10","Partida prevista para la financiación del plan contra la pobreza.","2019-07-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0016","10","Medidas para garantizar las bonificaciones por la producción de bienes corporales.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0017","10","Partida prevista para el instituto de productos naturales y agrobiología en canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0018","10","Uso del superávit por parte de la comunidad autónoma de canarias.","2019-07-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0019","10","Partida prevista para reindustrialización en canarias.","2019-07-18","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0020","10","Incremento de las cuantías de compensación por alojamiento y manutención para pacientes del servicio canario de la salud que tengan que desplazarse fuera de su municipio y acompañantes.","2019-07-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0021","10","Implementación de medidas para abaratamiento del combustible en el hierro, la gomera y la palma.","2019-07-24","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0060","10","Conversión de las horas dedicadas a proyectos solidarios en créditos universitarios.","2019-11-05","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0061","10","Reconocimiento y reparación para las personas que sufrieron en la dictadura franquista y los primeros años de la democracia la exclusión social por su orientación sexual o identidad de género.","2019-11-06","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0050","10","El envío de medicamentos y productos sanitarios a venezuela por familiares y asociaciones sin ánimo de lucro y particulares.","2019-10-24","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0051","10","Medidas para la plena inclusión de las personas mayores lgtbi.","2019-10-29","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0052","10","La ayuda económica para compensar el coste de desplazamiento entre islas en los programas de turismo del imserso.","2019-10-29","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0053","10","El cultivo de la cochinilla.","2019-10-30","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0054","10","Implementación de planes integrales en los territorios vulnerables de canarias.","2019-10-30","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0055","10","Funcionamiento de un carril bus-vao y licitación urgente de proyectos en la gc-1. ","2019-10-30","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0056","10","Homogeneización de la exención en el igic con el iva respecto a la actividad del alquiler vacacional.","2019-10-30","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0057","10","Inclusión de un régimen de diferimiento de ingreso del igic en las importaciones.","2019-10-30","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0062","10","La estrategia de especialización inteligente.","2019-11-08","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0058","10","El plan forestal de canarias.","2019-10-31","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0044","10","Exoneración de las tasas al queroseno a los vuelos europeos con origen o destino a regiones ultraperiféricas.","2019-10-17","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0045","10","Estudio y desarrollo del tercer sector.","2019-10-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0059","10","Medidas de bienestar animal.","2019-11-05","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0046","10","La retirada de la instrucción 2/2019, por la que se fijan los criterios de riesgo en aplicación de la orden de 12 de marzo de 1987, por la que se establece para las islas canarias las normas fitosanitarias a la importación, exportación y tránsito de vegetales y productos vegetales.","2019-10-22","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0047","10","Deslindes de la isla de la graciosa.","2019-10-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0048","10","Dotación de fondos para la actividad vitivinícola de la geria.","2019-10-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0049","10","Estudio de la línea de obligación de servicio público cádiz- arrecife-puerto del rosario-santa cruz de la palma.","2019-10-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0077","10","Procedimiento de modificación de la actual denominación del aeropuerto de gran canaria por el de aeropuerto de gran canaria-benito pérez galdós.","2019-12-20","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0064","10","La libertad de las familias para elegir el tipo de educación y el centro educativo que quieren para sus hijos.","2019-11-15","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0069","10","Cambio de nombre del aeropuerto de gran canaria.","2019-12-03","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0066","10","Acogimiento familiar, apadrinamiento y proyectos de integración, formación profesional y apoyo a menores extranjeros no acompañados.","2019-11-29","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0065","10","Regulación efectiva del juego y las apuestas en canarias contra las adicciones.","2019-11-19","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0072","10","Aprobación del expediente de declaración del silbo herreño como bien de interés cultural y su inclusión en las escuelas.","2019-12-11","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0078","10","Aprobación de un decreto ley para la revalorización de las pensiones públicas.","2019-12-30","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0079","10","Aprobación de un decreto ley para el incremento retributivo de los empleados públicos para 2020.","2019-12-30","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0071","10","Ley estatal que garantice la protección jurídica de las personas trans y el derecho a la libre determinación de la identidad sexual y expresión de género.","2019-12-10","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0073","10","Acciones que ponen en peligro la unidad de españa y la igualdad entre los españoles.","2019-12-13","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0070","10","Reducción del impacto del littering o abandono de residuos de envases.","2019-12-09","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0063","10","La contratación de un servicio de transporte sanitario aéreo mediante helicóptero de soporte vital avanzado, con base en fuerteventura.","2019-11-15","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0067","10","Estrategia de abordaje del dolor crónico en canarias.","2019-12-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0068","10","Mejora de la dotación de fisioterapia y terapeutas ocupacionales en atención primaria y fisioterapeutas para atención domiciliaria.","2019-12-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0074","10","Medidas frente al impacto negativo en canarias de los aranceles estadounidenses.","2019-12-16","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0075","10","Impulso de la excelencia en la valoración energética de residuos no peligrosos en la industria cementera canaria.","2019-12-16","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0076","10","Elaboración del libro blanco sobre el futuro del trabajo.","2019-12-16","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
