ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLP-0437","10","Deflactar la tarifa del impuesto sobre la renta de las personas físicas (irpf).","2022-02-16","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0439","10","Modificación de la ley 20/1991 para la devolución del igic a las empresas afectadas por la quiebra de thomas cook.","2022-02-21","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0426","10","Muestras de odio contra el colectivo lgtbi.","2022-01-28","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0419","10","Defensa de la autonomía financiera y tributaria de canarias.","2022-01-14","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0442","10","Impulso al acuerdo de fecha veintitrés de abril de dos mil veintiuno entre la administración de la comunidad autónoma y el comité de huelga para acabar con el abuso de la temporalidad en el sector de la administración general de la comunidad autónoma y fortalecer los servicios públicos.","2022-02-25","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0443","10","Creación de la dirección general de pesca recreativa.","2022-02-25","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0444","10","Contra la trata, la explotación sexual y por la abolición de la prostitución.","2022-02-25","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0445","10","Creación de una lista específica de docentes especialistas titulados en el grado de seguridad y control de riesgos, e inclusión de dicha titulación como habilitada para el acceso a las actuales listas 308 (formación y orientación laboral).","2022-02-25","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0422","10","La obesidad.","2022-01-25","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0450","10","Medidas para el sector ganadero.","2022-03-14","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0414","10","Cese del ministro de consumo por sus ataques a la ganadería y al sector cárnico español.","2022-01-07","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0416","10","Establecimiento de coeficientes reductores y anticipación de la edad de jubilación de los trabajadores de los servicios de salud.","2022-01-07","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0427","10","Elaboración y aprobación de ley de coordinación de bomberas y bomberos públicos de los servicios de prevención, extinción de incendios y salvamento de canarias.","2022-01-31","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0448","10","Ayudas a propietarios de viviendas vacacionales afectados por la erupción volcánica de la palma.","2022-03-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0428","10","Los costes del transporte y el precio de los insumos destinados a la alimentación animal.","2022-02-01","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0429","10","Inclusión del tren del sur de tenerife en la red ferroviaria de interés general.","2022-02-01","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0430","10","Garantizar una práctica segura y legal del aborto basada en la salud y los derechos de las mujeres.","2022-02-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0431","10","Elaboración y aprobación de la ley de coordinación de bomberas y bomberos públicos de los servicios de prevención, extinción de incendios y salvamento de canarias.","2022-02-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0432","10","Inclusión del tren del sur de tenerife y el de gran canaria en la red ferroviaria de interés general.","2022-02-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0433","10","Campaña informativa y publicitaria en defensa de los servicios públicos de canarias.","2022-02-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0420","10","Medidas de prevención contra la obesidad e inclusión de la financiación de fármacos para tratar esta enfermedad en la cartera de servicios comunes del sistema nacional de salud.","2022-01-19","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0421","10","Apoyo a la reforma laboral.","2022-01-21","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0413","10","Restablecimiento del transporte sanitario urgente para cubrir las zonas afectadas por el volcán en la palma.","2022-01-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0415","10","Sistema de selección en las convocatorias para el cuerpo de profesores de música y artes escénicas.","2022-01-07","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0423","10","Medidas extraordinarias y ayudas directas a todas las empresas, pymes y autónomos de la isla de la palma no afectados directamente por la erupción volcánica.","2022-01-25","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0449","10","Condena invasión de ucrania.","2022-03-08","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0451","10","Plena inclusión de los centros privados de educación infantil en la futura oferta pública de plazas de educación infantil de 0 a 3 años.","2022-03-22","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0453","10","Modificación urgente del rea y ayudas a los ganaderos de canarias.","2022-03-28","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0438","10","Fiscalizar y controlar a través de un organismo de control público la sociedad de gestión de activos procedentes de la reestructuración bancaria (sareb) y así garantizar el derecho a la vivienda.","2022-02-18","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0462","10","Exención de la tributación en el impuesto de la renta sobre personas físicas (irpf) y/o en el impuesto de sociedades de las ayudas en el sector primario.","2022-04-28","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0463","10","La actividad de comercio triangular en la zec.","2022-04-29","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0464","10","Los jóvenes extutelados.","2022-04-29","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0465","10","Los jóvenes extutelados.","2022-04-29","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0454","10","Incremento de horas lectivas educación sobre economía.","2022-03-29","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0440","10","La transferencia del profesorado de infantil y primaria de religión.","2022-02-22","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0441","10","Deudas hipotecarias de las personas afectadas por la erupción del volcán de la palma.","2022-02-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0458","10","Mantenimiento de la asignatura historia y geografía de canarias como obligatoria en educación secundaria, y cumplimiento de la 10l/pnlp-0366.","2022-04-08","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0424","10","Reconocimiento de la labor de las trabajadoras de los servicios de atención domiciliaria.","2022-01-25","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0425","10","Apoyo a la ganadería.","2022-01-25","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0456","10","La atención bucodental ajustada a las necesidades de las personas con discapacidad cognitiva.","2022-04-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0457","10","Ayudas económicas y subvenciones específicas para la revisión y mejora de los sistemas de ventilación de locales, edificios públicos y comerciales de canarias.","2022-04-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0452","10","Primeros auxilios a nivel educativo.","2022-03-24","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0435","10","Medidas para la temporada turística 2022.","2022-02-14","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0436","10","Medidas urgentes para el turismo en canarias.","2022-02-15","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0455","10","Para garantizar la protección de la persona que cuida.","2022-04-06","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0461","10","Refuerzo de la farmacia en la salud digital.","2022-04-26","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0459","10","Las viviendas de titularidad de la comunidad autónoma de canarias adjudicadas en régimen de alquiler.","2022-04-19","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0460","10","Creación del grado universitario en imagen médica y radioterapia.","2022-04-19","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0417","10","Calidad del servicio, competencia y respeto a los derechos de los consumidores en las oficinas bancarias.","2022-01-11","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0418","10","Contratación de un servicio de transporte sanitario aéreo mediante helicóptero con soporte vital avanzado, con base en fuerteventura.","2022-01-11","Cerrada","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0434","10","Declaración de procedimiento de emergencia en materia de contratación en la isla de la palma.","2022-02-10","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0446","10","Impulso y apoyo al sector aeronáutico y aeroespacial canario.","2022-03-07","Cerrada","Ordinario","Retirada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0447","10","Centro de interpretación de la necrópolis de maspalomas en san bartolomé de tirajana.","2022-03-07","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0512","10","Mejora funcional del servicio de salud pública en canarias.","2022-07-26","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0490","10","Apoyo a la ley del deporte nacional.","2022-06-10","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0495","10","Plan de recuperación de suelos y lucha contra la erosión.","2022-06-22","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0521","10","Correcta denominación de la profesión de enfermería.","2022-09-06","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0525","10","Muerte digna.","2022-09-16","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0526","10","Modificar los vocales del consejo escolar de canarias.","2022-09-16","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0502","10","Propuestas y acciones encaminadas a abordar el problema que afronta la sanidad pública en españa.","2022-07-06","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0522","10","Aplicación de una exención en canarias a la obligación del pago de la tasa correspondiente al permiso del sistema europeo de información y autorización de viajes (etias).","2022-09-07","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0527","10","Ayudas en educación para las familias.","2022-09-26","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0505","10","Actuaciones de regeneración del volcán de la palma.","2022-07-13","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0506","10","El plan rector de uso y gestión del parque nacional del teide.","2022-07-13","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0507","10","Adopción de medidas para garantizar la estabilidad laboral del personal docente de religión en canarias.","2022-07-14","Cerrada","Ordinario","Rechazada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0508","10","Problemática del cultivo de la papa.","2022-07-14","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0524","10","Modificación y actualización de los costes tipo del transporte en canarias, y cumplimiento del artículo 7 de nuestro régimen económico y fiscal.","2022-09-14","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0509","10","El tercer sector social.","2022-07-14","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0472","10","El día canario de las migraciones.","2022-05-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0473","10","Conectividad de las islas.","2022-05-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0474","10","Continuidad de la aplicación del tipo cero del igic a los materiales sanitarios básicos.","2022-05-12","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0475","10","Incentivos fiscales para el segmento mice en el sector turístico.","2022-05-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0510","10","Puesta en marcha de un punto de atención continuada en el consultorio de mala y dotación de un profesional de enfermería para la actual ambulancia de soporte vital básico con base en arrieta.","2022-07-12","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0476","10","Localización y bajada al buque villa de pitanxo.","2022-05-13","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN PLENO"
"10L/PNLP-0479","10","Reforma de la constitución que elimine la referencia a nacionalidades y regiones en la constitución española.","2022-05-24","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN PLENO"
