EXTRACTO,TEMATICA
"De Presupuestos Generales de la Comunidad Autónoma de Canarias para 2016.",ASUNTOS FINANCIEROS
"Inversiones realizadas por la Comunidad Autónoma por islas.",ASUNTOS FINANCIEROS
"El Presupuesto de los proyectos de inversión, capítulos VI y VII de la Consejería de Economía, Industria, Comercio y Conocimiento.",ASUNTOS FINANCIEROS
"Programas de actuación, inversiones y financiación de las Empresas Públicas de la Comunidad Autónoma para el ejercicio 2000.",ASUNTOS FINANCIEROS
"El precio de la luz.",ASUNTOS FINANCIEROS
"Presupuesto que se va a invertir en Fitur 2021, dirigida a la Sra. consejera de Turismo, Industria y Comercio.",ASUNTOS FINANCIEROS
"Informes sobre la diferencia de precios del combustible.",ASUNTOS FINANCIEROS
"El Presupuesto de los proyectos de inversión, capítulos VI y VII de la Consejería de Economía, Industria, Comercio y Conocimiento.",ASUNTOS FINANCIEROS
"La financiación prevista en el presupuesto de 2018 y el proyecto de 2019 para costear el material ortoprotésico, dirigida al Sr. Consejero de Sanidad.",ASUNTOS FINANCIEROS
"Presupuesto y cantidades abonadas a la gestión y promoción de los e-sports.",ASUNTOS FINANCIEROS
"Cumplimiento de la obligación de reserva de ingresos para financiación de obra audiovisual, 2016.",ASUNTOS FINANCIEROS
"Contrato con el corredor de seguros, dirigida a Viviendas Sociales e Infraestructuras de Canarias, SAU.",ASUNTOS FINANCIEROS
"Pólizas de seguros concertados para el personal al servicio de la CAC y de altos cargos.",ASUNTOS FINANCIEROS
"Subvenciones, ayudas o financiación concedida a las sociedades Encuentro Moda SL; Abeum 3 y Retama.",ASUNTOS FINANCIEROS
"Convenio de financiación del Metropolitano Tenerife con el Cabildo de Tenerife.",ASUNTOS FINANCIEROS
"Déficit de financiación de Canarias respecto al resto de comunidades autónomas, dirigida a la Sra. Consejera de Hacienda.",ASUNTOS FINANCIEROS
"Inversiones en infraestructuras educativas en Santa Cruz de Tenerife entre 2011 y 2018.",ASUNTOS FINANCIEROS
"Ejecución de la partida presupuestaria destinada a inversión en atención especializada en Tenerife.",ASUNTOS FINANCIEROS
"El Presupuesto de los proyectos de inversión, capítulos VI y VII de la Presidencia del Gobierno.",ASUNTOS FINANCIEROS
"El Presupuesto de los proyectos de inversión, capítulos VI y VII de la Consejería de Economía, Industria, Comercio y Conocimiento.",ASUNTOS FINANCIEROS
"El Presupuesto de los proyectos de inversión, capítulos VI y VII de la Consejería de Sanidad.",ASUNTOS FINANCIEROS
"Créditos ejecutados en los Presupuestos Generales de la Comunidad Autónoma en el fomento y ayuda a la lucha canaria.",ASUNTOS FINANCIEROS
"Créditos ejecutados con destino desarrollo y mejora de los medios técnicos de los policías locales en 2016, dirigida al Gobierno.",ASUNTOS FINANCIEROS
"Los derechos de información de las personas consumidoras de materia de titulización y retitulización de préstamos hipotecarios y otros créditos.",ASUNTOS FINANCIEROS
"Oferta de préstamos o créditos de entidades financieras o inversores de fuera de la Unión Europea.",ASUNTOS FINANCIEROS
"Créditos solicitados en 2011, dirigida al Sr. Director General de Radiotelevisión Canaria.",ASUNTOS FINANCIEROS
"La línea de financiación microcréditos Jeremie, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",ASUNTOS FINANCIEROS
"Créditos a empresas en los presupuestos de 2014 de Gestión Urbanística de Santa Cruz de Tenerife, SA, dirigida al Gobierno.",ASUNTOS FINANCIEROS
"Créditos bancarios de VISOCAN en 2014, dirigida a la Sra. Consejera de Cultura, Deportes, Políticas Sociales y Vivienda.",ASUNTOS FINANCIEROS
"Informe de fiscalización económico-financiero de la XXXIII Edición del Festival de Música de Canarias.",ASUNTOS FINANCIEROS
"De Informe de Fiscalización de GRECASA, de 1 de septiembre de 2016 a 31 de julio de 2018.",ASUNTOS FINANCIEROS
